[2019-10-08 16:55:03,876] [INFO ] [main] [exa.gct.datamodel] Checking the generated configuration
[2019-10-08 16:55:04,098] [INFO ] [main] [exa.gct.datamodel] Checking other configuration
[2019-10-08 16:55:04,331] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor' processor configuration: Error: Plugin processor error for com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor: no component of class com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor found

[2019-10-08 16:55:04,332] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor' processor configuration: Error: Plugin processor error for com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor: no component of class com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor found

[2019-10-08 16:55:04,332] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.papi.enovia.commons.consolidation.CalculatePathAggregationProcessor' processor configuration: Error: Plugin processor error for com.exalead.papi.enovia.commons.consolidation.CalculatePathAggregationProcessor: no component of class com.exalead.papi.enovia.commons.consolidation.CalculatePathAggregationProcessor found

[2019-10-08 16:55:04,332] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.drive.consobox.transformation.CADAwareParentChildrenExtractor' processor configuration: Error: Plugin processor error for com.exalead.drive.consobox.transformation.CADAwareParentChildrenExtractor: no component of class com.exalead.drive.consobox.transformation.CADAwareParentChildrenExtractor found

[2019-10-08 16:55:04,484] [INFO ] [main] [exa.gct.searchtarget] Checking configuration
[2019-10-08 16:55:04,716] [INFO ] [main] [exa.gct.replay] Configuring replay server...
[2019-10-08 16:55:04,747] [INFO ] [main] [exa.gct.build] Using dscore-index from /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/amd64-linux/lib/dscore-index/dscore-index for process searchserver-ss0
[2019-10-08 16:55:04,747] [INFO ] [main] [exa.gct.build] Using dscore-index from /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/amd64-linux/lib/dscore-index/dscore-index for process indexingserver-sxibg0
[2019-10-08 16:55:04,750] [INFO ] [main] [exa.gct.build] Using dscore-index from /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/amd64-linux/lib/dscore-index/dscore-index for process index6-sxibg0-sxii0
[2019-10-08 16:55:04,813] [INFO ] [main] [exa.gct.jrds] URL is /search-api|http://mpllnx4032.mpl.michelin.com:16010/search-api
[2019-10-08 16:55:04,847] [INFO ] [main] [exa.gct.jrds] adding child convert monitoring: http://mpllnx4032.mpl.michelin.com:16022/stats.xml
[2019-10-08 16:55:04,964] [INFO ] [main] [exa.gct.config] Locally committing version 4
[2019-10-08 16:55:04,964] [INFO ] [main] [exa.gct.config] done, updating latest
[2019-10-08 16:55:05,030] [INFO ] [main] [gct] BuildGCT done (preload: 2115ms, run: 2205ms)
[2019-10-08 16:55:35,458] [INFO ] [main] [exa.mami.master] Starting contexts preload
[2019-10-08 16:55:37,180] [INFO ] [pool-1-thread-2] [exa.mami.master] XML validation preloaded
[2019-10-08 16:55:37,382] [INFO ] [main] [exa.mami.master] Contexts preloaded: 1924ms
[2019-10-08 16:55:37,425] [INFO ] [main] [exa.plugins] Refreshing plugins list
[2019-10-08 16:55:37,425] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../extrajava/devplugins/default_dev_plugin
[2019-10-08 16:55:37,425] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/consolidation-classic-processors-plugin
[2019-10-08 16:55:37,425] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/convert-papi-filter-plugin
[2019-10-08 16:55:37,425] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/imap-java-connector-plugin
[2019-10-08 16:55:37,425] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/cm-processor-plugin
[2019-10-08 16:55:37,425] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/security-java-sources-plugin
[2019-10-08 16:55:37,425] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/interconnector-aggregator-processor-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/replay-java-connector-v2
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/logs-java-connector-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/360-storage-processor-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/crawler-connector-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/cv-aspose-formats-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/connector-infrastructure-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/papi-filters-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/jdbc-java-connector
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/microsoft-formats-converters-plugin
[2019-10-08 16:55:37,426] [INFO ] [main] [plugins] refreshPlugins: add: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../resource/all-arch/builtin_plugins_deployed/core-java-connectors-plugin
[2019-10-08 16:55:37,472] [INFO ] [main] [exa.gct.config] Applying new configuration
[2019-10-08 16:55:37,472] [INFO ] [main] [exa.gct.config] Ignoring previous version
[2019-10-08 16:55:37,473] [INFO ] [main] [exa.gct.config] Full checkout from store /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/bin/../config
[2019-10-08 16:55:38,020] [INFO ] [main] [exa.gct.datamodel] Loading configuration for DataModel expansion
[2019-10-08 16:55:38,407] [INFO ] [main] [exa.gct.datamodel] Checking configuration
[2019-10-08 16:55:38,414] [INFO ] [main] [exa.gct.datamodel] Generating expanded DataModel configuration
